country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Sudan,Blue Nile,11.3108,34.1189,max,earthquake,0
Sudan,White Nile,13.3861,32.3132,max,earthquake,5.17
Sudan,Kassala,15.8409,35.8452,max,earthquake,5.08
Sudan,Gedaref,14.1634,35.0925,max,earthquake,4.43
Sudan,Sennar,12.9093,34.0397,max,earthquake,0
Sudan,Aj Jazirah,14.5871,33.2776,max,earthquake,4.58
Sudan,West Kordofan,11.9085,28.39,max,earthquake,0
Sudan,Abyei PCA,9.7833,27.8417,max,earthquake,0
Syrian Arab Republic,Damascus,33.5208,36.2708,max,earthquake,5.52
Syrian Arab Republic,Aleppo,36.2135,37.6371,max,earthquake,6.68
Syrian Arab Republic,Rural Damascus,33.4943,37.3854,max,earthquake,6.75
Syrian Arab Republic,Homs,34.4761,38.3644,max,earthquake,6.72
Syrian Arab Republic,Hama,35.2214,37.2131,max,earthquake,6.31
Syrian Arab Republic,Lattakia,35.565,36.029,max,earthquake,6.6
Syrian Arab Republic,Idleb,35.7758,36.6867,max,earthquake,5.91
Syrian Arab Republic,Al-Hasakeh,36.4919,40.8957,max,earthquake,6.35
Syrian Arab Republic,Deir-ez-Zor,35.1438,40.3082,max,earthquake,6.51
Syrian Arab Republic,Tartous,34.9627,36.077,max,earthquake,6.86
Syrian Arab Republic,Ar-Raqqa,36.0078,38.9939,max,earthquake,5.68
Syrian Arab Republic,Dar'a,32.8547,36.2238,max,earthquake,5.75
Syrian Arab Republic,As-Sweida,32.7507,36.8443,max,earthquake,5.46
Syrian Arab Republic,Quneitra,33.1324,35.8909,max,earthquake,5.6
Ukraine,Autonomous Republic of Crimea,46.1875,33.6458,max,earthquake,5.3
Ukraine,Vinnytska,48.9199,28.6868,max,earthquake,6.29
Ukraine,Volynska,51.1875,24.8769,max,earthquake,0
Ukraine,Dnipropetrovska,48.3002,34.8457,max,earthquake,0
Ukraine,Donetska,48.0518,37.6721,max,earthquake,4.54
Ukraine,Zhytomyrska,50.6317,28.4716,max,earthquake,0
